date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:48	860/860	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/robots.txt		(from )
19:02:49	90010/90010	---MCZ	200	added ('OK')	text/html	etag:%2239f5ce95b3b3d98313e1c3634cbf69b7-ssl-df%22	https://technoraxv9.netlify.app/	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/index.html	(from )
19:02:50	10323/10323	---MCZ	200	added ('OK')	application/javascript	etag:W/%222874-1853939a408%22	https://apply.devfolio.co/v2/sdk.js	/Users/Sarthak/websites/technorax/apply.devfolio.co/v2/sdk.js	(from https://technoraxv9.netlify.app/)
19:02:51	142791/142791	---MCZ	200	added ('OK')	text/css	etag:%22550e05f818d0912d9c71dedc8a03e57e-ssl-df%22	https://technoraxv9.netlify.app/style.css	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/style.css	(from https://technoraxv9.netlify.app/)
19:02:52	25148/25148	---MCZ	200	added ('OK')	text/css	etag:%22e29a85e0c01014dd3ff914fd5d99ecaa-ssl-df%22	https://technoraxv9.netlify.app/css.css	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/css.css	(from https://technoraxv9.netlify.app/)
19:02:53	11642/11642	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2017%20Sep%202023%2013:32:52%20GMT	https://kit.fontawesome.com/e5493f8028.js	/Users/Sarthak/websites/technorax/kit.fontawesome.com/e5493f8028.js	(from https://technoraxv9.netlify.app/)
19:02:54	112767/112767	---MCZ	200	added ('OK')	text/css	etag:%223397a0e45c42ba23fbfd9574351d95db-ssl-df%22	https://technoraxv9.netlify.app/conference-html-template.webflow.0b06d02f6.css	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/conference-html-template.webflow.0b06d02f6.css	(from https://technoraxv9.netlify.app/)
19:02:55	20412/20412	---MCZ	200	added ('OK')	text/css	etag:%22e8dd3e5e2a7ea3df07e9bcbeee2ac776-ssl-df%22	https://technoraxv9.netlify.app/index.css	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/index.css	(from https://technoraxv9.netlify.app/)
19:02:56	19788/19788	---MCZ	200	added ('OK')	text/css	etag:%222ff5d3bd2f183d81171bfbe6e3d9b9a0-ssl-df%22	https://technoraxv9.netlify.app/assets/css/swiper.min.css	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets/css/swiper.min.css	(from https://technoraxv9.netlify.app/)
19:02:57	71520/71520	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-6d5e%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	/Users/Sarthak/websites/technorax/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	(from https://technoraxv9.netlify.app/)
19:02:58	42667/42667	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-442b%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	/Users/Sarthak/websites/technorax/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	(from https://technoraxv9.netlify.app/)
19:02:58	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/horizontalScroll.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/horizontalScroll.9.delayed	(from https://technoraxv9.netlify.app/)
19:02:59	3854/3854	---M--	200	added ('OK')	image/png	etag:%22c58526e45530a36c093e5e7f0b4f67b1-ssl%22	https://technoraxv9.netlify.app/L2.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/L2.png	(from https://technoraxv9.netlify.app/)
19:03:00	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.b.delayed	(from https://technoraxv9.netlify.app/)
19:03:01	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/fonts.googleapis.com/css?family=barlow+condensedregular,500,600,700,800,900%7cbarlow:300,regular,italic,500,600,700.html	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/fonts.googleapis.com/css.c21c1.delayed	(from https://technoraxv9.netlify.app/)
19:03:02	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/assets.website-files.com/5d70f6f0c8ca5de04b4392d5/5d7b9e8e1e2e7df3ef470640_fav-32.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets.website-files.com/5d70f6f0c8ca5de04b4392d5/5d7b9e8e1e2e7df3ef470640_fav-32.d.delayed	(from https://technoraxv9.netlify.app/)
19:03:03	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/assets.website-files.com/5d70f6f0c8ca5de04b4392d5/5d7b9e9158b7f62e91fb085b_fav-256.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/assets.website-files.com/5d70f6f0c8ca5de04b4392d5/5d7b9e9158b7f62e91fb085b_fav-256.e.delayed	(from https://technoraxv9.netlify.app/)
19:03:04	1226/1226	---M-Z	200	added ('OK')	text/css	etag:W/%224ca-ADwyb5wpz1LL48s0+fCZZPTWYsU%22	https://cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting.min.css	/Users/Sarthak/websites/technorax/cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting.min.css	(from https://technoraxv9.netlify.app/)
19:03:06	1518/1518	---M-Z	200	added ('OK')	text/css	etag:W/%225ee-qb4/dRJAFuu6l0e9NJQ9lKWlYeQ%22	https://cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting-cells.css	/Users/Sarthak/websites/technorax/cdn.jsdelivr.net/npm/splitting@1.0.6/dist/splitting-cells.css	(from https://technoraxv9.netlify.app/)
19:03:06	62348/62348	---MCZ	200	added ('OK')	text/css	etag:%22bdf0cefd58f38036a640bded95c44e05-ssl-df%22	https://technoraxv9.netlify.app/muse/style.css	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/muse/style.css	(from https://technoraxv9.netlify.app/)
19:03:07	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=626205cb928346d5147b8547	/Users/Sarthak/websites/technorax/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8d1b3.js	(from https://technoraxv9.netlify.app/)
19:03:08	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/script.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/script.13.delayed	(from https://technoraxv9.netlify.app/)
19:03:09	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/google.com	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/google.14.delayed	(from https://technoraxv9.netlify.app/)
19:03:11	394812/394812	---M--	200	added ('OK')	image/jpeg	etag:%222931027a0d75262867334908a9de66ac-ssl%22	https://technoraxv9.netlify.app/images/About/IMG_0156.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0156.jpg	(from https://technoraxv9.netlify.app/)
19:03:12	566587/566587	---M--	200	added ('OK')	image/jpeg	etag:%220c7d4b2c768b9d02154fcdf3836fdb77-ssl%22	https://technoraxv9.netlify.app/images/About/IMG_0267.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0267.jpg	(from https://technoraxv9.netlify.app/)
19:03:13	453747/453747	---M--	200	added ('OK')	image/jpeg	etag:%22094dc635b470d9b85e5f2076f16be9cf-ssl%22	https://technoraxv9.netlify.app/images/About/IMG_0272.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0272.jpg	(from https://technoraxv9.netlify.app/)
19:03:14	710857/710857	---M--	200	added ('OK')	image/jpeg	etag:%227526474da26d274a3400979bf4e98c9a-ssl%22	https://technoraxv9.netlify.app/images/About/IMG_0030.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0030.jpg	(from https://technoraxv9.netlify.app/)
19:03:15	500113/500113	---M--	200	added ('OK')	image/jpeg	etag:%224fcb542b27c8502cacab11e9acb21a55-ssl%22	https://technoraxv9.netlify.app/images/About/IMG_0123.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0123.jpg	(from https://technoraxv9.netlify.app/)
19:03:15	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/project/portrat-einer-dame-1916-1917	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/project/portrat-einer-dame-1916-1917.1a.delayed	(from https://technoraxv9.netlify.app/)
19:03:18	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%2265dc2aace8a5b6bbf44041a16412cd99-ssl-df%22	https://technoraxv9.netlify.app/jquery-3.5.1.min.dc5e7f18c8.js?site=5d70f6f0c8ca5de04b4392d5	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/jquery-3.5.1.min.dc5e7f18c88e9c.js	(from https://technoraxv9.netlify.app/)
19:03:19	305023/305023	---MCZ	200	added ('OK')	application/javascript	etag:%226eb9831e65cb56c1a0b7151b7d5d4362-ssl-df%22	https://technoraxv9.netlify.app/webflow.bdb12a2e7.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/webflow.bdb12a2e7.js	(from https://technoraxv9.netlify.app/)
19:03:20	483826/483826	---M--	200	added ('OK')	image/jpeg	etag:%2213fc931a7891e591f74bf34e9915881b-ssl%22	https://technoraxv9.netlify.app/images/22.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/22.jpg	(from https://technoraxv9.netlify.app/)
19:03:20	1808/1808	---MCZ	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/project/red-flamingoes-concealing-coloration-in-the-animal-kingdom-ca-1905-1909	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/project/red-flamingoes-concealing-coloration-in-the-animal-kingdom-ca-1905-1909.1f.delayed	(from https://technoraxv9.netlify.app/)
19:03:21	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	etag:1692817432-ssl-df	https://technoraxv9.netlify.app/project/monkeys-and-parrot-in-the-virgin-forest-ca-1905-1906	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/project/monkeys-and-parrot-in-the-virgin-forest-ca-1905-1906.20.delayed	(from https://technoraxv9.netlify.app/)
19:03:23	89390/89390	---MCZ	200	added ('OK')	application/javascript	etag:%225747afc81e46e9b6a0a1eb50e6f3189d-ssl-df%22	https://technoraxv9.netlify.app/muse/s.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/muse/s.js	(from https://technoraxv9.netlify.app/)
19:03:24	293912/293912	---MCZ	200	added ('OK')	application/javascript	etag:%22425cf2b355249e5b23a5f1a08a9f627d-ssl-df%22	https://technoraxv9.netlify.app/muse/script.js	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/muse/script.js	(from https://technoraxv9.netlify.app/)
19:03:25	281210/281210	---M--	200	added ('OK')	image/png	etag:%228fa9d7ecd2fdaa993ea52c0715288043-ssl%22	https://technoraxv9.netlify.app/images/nikunj.png	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/nikunj.png	(from https://technoraxv9.netlify.app/)
